IIP ID,Language,Region,Material,Text_Genre,City,Religion,Time
idum0020,Aramaic,Negev,clay,legal/economic,Other,unknown,-354.0
masa0796,Greek,Judaea,clay,label,Other,other_religion,26.0
masa0795,Greek,Judaea,clay,label,Other,other_religion,27.0
mger0128,Aramaic,Samaria,stone,dedicatory,Other,jewish,-400.0
mogh0001,Greek,Coastal Plain,marble,other/unkown,Other,unknown,515.0
odob0001,Greek,Negev,marble,funerary,Other,christian,581.0
odob0003,Greek,Negev,marble,funerary,Other,christian,541.0
odob0002,Greek,Negev,marble,funerary,Other,christian,550.0
odob0005,Greek,Negev,marble,funerary,Other,christian,576.0
odob0018,Greek,Negev,limestone,funerary,Other,christian,590.0
qana0001,Greek,Other,stone,dedicatory,Other,unknown,69.0
reho0002,Greek,Negev,limestone,funerary,Other,christian,542.0
reho0001,Greek,Negev,marble,funerary,Other,christian,530.0
saur0001,Greek,Other,stone,funerary,Other,unknown,73.0
saur0002,Greek,Other,stone,dedicatory,Other,unknown,81.0
shiv0002,Greek,Negev,stone,funerary,Other,christian,630.0
shiv0003,Greek,Negev,stone,funerary,Other,christian,639.0
sina0107,Aramaic,Other,stone,other/unkown,Other,other_religion,223.0
suhm0001,Greek,Coastal Plain,Other,dedicatory,Other,christian,555.0
suhm0002,Greek,Coastal Plain,Other,dedicatory,Other,christian,555.0
surm0003,Greek,Golan,Other,funerary,Other,unknown,303.0
susi0005,Greek,Galilee,,dedicatory,Other,christian,591.0
szio0002,Greek,Coastal Plain,Other,dedicatory,Other,christian,486.0
szio0001,Greek,Coastal Plain,Other,dedicatory,Other,christian,486.0
tsha0002,Latin,Jordan,stone,other/unkown,Other,other_religion,136.0
ummq0002,Greek,Jordan,stone,dedicatory,Other,unknown,139.0
unkn0130,Latin,Other,metal,legal/economic,Other,other_religion,90.0
zoor0002,Greek,Negev,stone,funerary,Other,christian,402.0
zoor0001,Greek,Negev,stone,funerary,Other,unknown,309.0
zoor0005,Greek,Negev,stone,funerary,Other,unknown,334.0
zoor0006,Greek,Negev,,funerary,Other,unknown,345.0
zoor0007,Greek,Negev,,funerary,Other,unknown,345.0
zoor0011,Greek,Negev,stone,funerary,Other,christian,349.0
zoor0014,Greek,Negev,,funerary,Other,christian,355.0
zoor0010,Greek,Negev,,funerary,Other,unknown,349.0
zoor0022,Greek,Negev,,funerary,Other,christian,363.0
zoor0023,Greek,Negev,,funerary,Other,christian,363.0
zoor0024,Greek,Negev,stone,funerary,Other,christian,363.0
zoor0016,Greek,Negev,,funerary,Other,christian,356.0
zoor0019,Greek,Negev,stone,funerary,Other,christian,359.0
zoor0025,Greek,Negev,,funerary,Other,christian,366.0
zoor0017,Greek,Negev,,funerary,Other,unknown,358.0
zoor0021,Greek,Negev,,funerary,Other,christian,361.0
zoor0027,Greek,Negev,,funerary,Other,christian,369.0
zoor0028,Greek,Negev,stone,funerary,Other,christian,370.0
zoor0035,Greek,Negev,stone,funerary,Other,unknown,375.0
zoor0033,Greek,Negev,,funerary,Other,christian,373.0
zoor0031,Greek,Negev,,funerary,Other,christian,372.0
zoor0029,Greek,Negev,,funerary,Other,christian,370.0
zoor0046,Greek,Negev,,funerary,Other,christian,384.0
zoor0038,Greek,Negev,,funerary,Other,christian,378.0
zoor0045,Greek,Negev,,funerary,Other,christian,383.0
zoor0044,Greek,Negev,,funerary,Other,christian,383.0
zoor0039,Greek,Negev,,funerary,Other,christian,379.0
zoor0037,Greek,Negev,stone,funerary,Other,christian,378.0
zoor0043,Greek,Negev,,funerary,Other,christian,383.0
zoor0040,Greek,Negev,stone,funerary,Other,christian,382.0
zoor0036,Greek,Negev,,funerary,Other,unknown,376.0
zoor0051,Greek,Negev,,funerary,Other,christian,386.0
zoor0054,Greek,Negev,,funerary,Other,christian,387.0
zoor0050,Greek,Negev,,funerary,Other,christian,385.0
zoor0052,Greek,Negev,,funerary,Other,christian,386.0
zoor0048,Greek,Negev,,funerary,Other,christian,385.0
zoor0047,Greek,Negev,stone,funerary,Other,christian,385.0
zoor0049,Greek,Negev,,funerary,Other,christian,385.0
zoor0061,Greek,Negev,,funerary,Other,christian,389.0
zoor0063,Greek,Negev,stone,funerary,Other,christian,391.0
zoor0060,Greek,Negev,stone,funerary,Other,christian,389.0
zoor0057,Greek,Negev,,funerary,Other,christian,387.0
zoor0056,Greek,Negev,,funerary,Other,christian,387.0
zoor0058,Greek,Negev,,funerary,Other,christian,388.0
zoor0059,Greek,Negev,,funerary,Other,christian,388.0
