IIP ID,Summary,Text Genre,City Name,Language,Terminus ante quem,Terminus post quem,Object Type,Region,Likely religion,City Name,Description of Place Found,Material,Original text,Translation,Description
jeru0364,"Jerusalem, 1st Century BCE. Potsherd. Unknown Text.",text_unknown,Jerusalem,Hebrew,-50,1,handles,Judaea,jewish,Jerusalem,"Jerusalem, Judaea. <br/> <br/>Current Location: ",clay,                יה                        ,                YH...            ,                Likely the beginning of a theophoric name            
jeru0336,"Jerusalem, 183 BCE - 175 BCE. Handles. Label.",label,Jerusalem,Greek,-183,-175,handles,Judaea,other_religion,Jerusalem,"Jerusalem, Judaea. ",stone,                ΕΠΙLἔτουςΕ ΣΤΡΑΤΟΥ                            ,                            ,                            
mtab0001,"Mount Tabor, Early Byzantine. Slab. Dedicatory.",dedicatory,Mount Tabor,Greek,324,638,slab,Galilee,christian,Mount Tabor,"Mount Tabor, Galilee. Franciscan monastery.",marble,<span>                [-----]<u>Σ</u>ΙΩ[-----]                    <br/>[-----]ΘΑΒ<u>Ω</u>[-----]                    <br/>[-----]ΜΕΛΙ<u>Ω</u>[-----]                    <br/>[-----]ΑΝΕ<u>Ω</u>[-----]            </span>          ,,"                ""The script is regular, engraved by a skilled hand...""                ""Below the v-like form of the letter Α, connecting its two diagonal lines, a                    simple small cross was engraved, perhaps to express the sanctity of the                    mountain, where the Transfiguration was traditionally believed to have                    occurred.""                ""To the best of our knowledge, this offers a rare, perhaps even the first, piece                    of epigraphic evidence of the name of Mount Tabor being found at the site                    itself, and constituting unequivocal identification of the site.""            "
akko0100,"Akko, Persian period. Ostrakon. Legal.",text_other,Akko,Phoenician,-520,-330,ostrakon,Coastal Plain,other_religion,Akko,"Akko, Coastal Plain. ",clay,,"                By order: to the guild of (metal?) artisans; they shall give a valuable                    basinto שלת, the overseer of the shrine(s); (likewise they shall give)                    metal cups (golden?)10, and vessels with inlay (round ringstands?) 25, and                    largepyxides 70, and post (on stands)60, and decanters 60, and                    smiths' blown vessels 57and small deep bowls 30            ","                Phoenician, connected to temple complex            "
arak0002,"Khirbet Arak Hala, 98-117 CE. Graffito. Prayer.",prayer,Khirbet Arak Hala,Aramaic,98,117,wall,Judaea,jewish,Khirbet Arak Hala,"Khirbet Arak Hala, Judaea. ",stone,                דכיר מר טרן לברכה                    קסר            ,                May the memory of Lord Trajan Caesar be blessed.            ,                            
ashd0001,"Ashdod, 4th-7th century CE. Chancel screen.                                Dedicatory.",dedicatory,Ashdod,Greek,330,600,chancel_screen,Coastal Plain,jewish,Ashdod,"Ashdod, Coastal Plain. ",marble,                 μνισθῖ εἰς ἀγαθὸν κὲ                     ἠς                     εὐλογίαν. שלום            ,                [S/He] will be remembered for good and blessing. Shalom            ,                             
beth0029,"Galilee. Beth Shearim, 250 CE to 350 CE. Red painted wall of arcosolium.                        Funerary.",funerary,Beth Shearim,Greek,250,350,wall,Galilee,jewish,Beth Shearim,"Beth Shearim, Galilee. ",,            שלום                Ἰούδας θάρσει φίλτατε               יהודה הקטן         ,"                           Shalom, Judah, have courage, most beloved                little                Judah                      ","            Catacomb 1, Hall G, room III, left of arcosolum 4         "
beth0041,"Beth Shearim, 250 CE to 350 CE. Arch. Funerary.",funerary,Beth Shearim,Greek,250,350,arch,Galilee,jewish,Beth Shearim,"Beth Shearim, Galilee. Catacomb 1, Hall G, passageway room III to IV..",,"            רבי יוסף                              בן יצחק               Ῥιββὶ Ἰωσῆ ὅσιος, υἱὸςΕἰσακίου               θάρσει Μ                        ","                           Rabbi                                  Joseph                   the pious, son  of       Isaac                , have courage.          ",            Could be more writing at the end of line 3         
beth0079,"Galilee. Beth Shearim, 200 CE to 400 CE. Wall. Funerary.",funerary,Beth Shearim,Greek,200,400,wall,Galilee,jewish,Beth Shearim,"Beth Shearim, Galilee. <br/>Catacomb 1, Hall P, on wall of arcosolium 2. ",,            Εἰσὰκ υἱὸς Σάσσου Ἀραβενοῦ               וירח מרחש ון                              שת ת                μυραψοῦ         ,"                                             Isaac                   son  of Sassos                , from                   'Araba               . Month of Marheshvon.               Perfume dealer.          ","            Apparently, last word refers to perfume-dealer         "
beth0117,"Galilee. Beth Shearim, 200 CE to 350 CE. Arcosolium. Funerary.",funerary,Beth Shearim,Greek,200,350,arcosolium,Galilee,jewish,Beth Shearim,"Beth Shearim, Galilee. <br/>Catacomb 8, Hall A, room V, arcosolium 1. ",,            Ἄρτις               	חרת חבל         ,"                                             Arethas, Hareth                , woe                      ",                     
